index,pattern,tag
0,Hello there!,0
1,Hi!,0
2,Hello!,0
3,Greetings!,0
4,"Hello, how are you?",0
5,"Hi, hope you're doing well",0
6,Hey!,0
7,"Hello, is someone there?",0
8,"Hello, is anyone there?",0
9,"Hi, I'm talking to you!",0
10,Goodbye!,1
11,See you later.,1
12,Have a good day.,1
13,See you soon.,1
14,Time to go.,1
15,Goodnight.,1
16,I'll be in touch.,1
17,Take care.,1
18,I'm hanging up now.,1
19,Bye for now.,1
20,Thanks!,2
21,Thank you!,2
22,That's helpful.,2
23,Thanks a lot!,2
24,I appeciate it.,2
25,I am grateful,2
26,"Thank you, that was helpful",2
27,I can't thank you enough,2
28,I really appreciate your help.,2
29,Thanks for your help.,2
30,"That was really helpful, thank you.",2
31,tell me about this app,3
32,What kinds of technology used?,3
33,What is this?,3
34,What are you?,3
35,Are you a robot?,3
36,Can you tell me a joke?,4
37,"I could use a laugh, can you make a joke?",4
38,Do you know any good jokes?,4
39,Can you tell me something funny?,4
40,"I need a laugh, can you help?",4
41,Can you crack a joke for me?,4
42,Do you have a joke to share?,4
43,Can you make me laugh?,4
44,"I'm bored, can you tell me a joke?",4
45,Can you tell me a funny story?,4
46,Where should I go to obtain the BUCET application form?,5
47,What is the location for acquiring the BUCET application form?,5
48,Could you direct me to where I can pick up the BUCET application form?,5
49,Where can I find the BUCET application form?,5
50,What's the designated place to get the BUCET application form?,5
51,Can you guide me on where to secure the BUCET application form?,5
52,In which office can I obtain the BUCET application form?,5
53,Where is the distribution point for the BUCET application form?,5
54,What's the specific location to collect the BUCET application form?,5
55,Could you inform me about where I can access the BUCET application form?,5
56,Where do I need to go to fetch the BUCET application form?,5
57,Can you tell me the exact place to procure the BUCET application form?,5
58,What is the venue for obtaining the BUCET application form?,5
59,Where am I supposed to go to get the BUCET application form?,5
60,Do you know where I can get my hands on the BUCET application form?,5
61,Could you point me in the right direction to get the BUCET application form?,5
62,Where do applicants go to receive the BUCET application form?,5
63,What's the location for picking up the BUCET application form?,5
64,Where should I head to acquire the BUCET application form?,5
65,Can you provide information on where I can procure the BUCET application form?,5
66,Where is the designated spot for obtaining the BUCET application form?,5
67,Do you know the place where I can obtain the BUCET application form?,5
68,Where can I retrieve the BUCET application form?,5
69,Could you advise me on the location to obtain the BUCET application form?,5
70,What's the address for obtaining the BUCET application form?,5
71,Where can I go to pick up the BUCET application form?,5
72,Can you direct me to the office where I can obtain the BUCET application form?,5
73,What's the specific office for acquiring the BUCET application form?,5
74,Where do I need to visit to get the BUCET application form?,5
75,Could you let me know the location where I can get the BUCET application form?,5
76,Where is the official place to obtain the BUCET application form?,5
77,Where can I find the BUCET application form on campus?,5
78,Where is the official place to obtain the BUCET application form?,5
79,What's the official office for distributing the BUCET application form?,5
80,Can you tell me where the BUCET application forms are available?,5
81,Where should I go on campus to get the BUCET application form?,5
82,What's the designated building for obtaining the BUCET application form?,5
83,Where can I go within the university to acquire the BUCET application form?,5
84,Could you provide instructions on rescheduling my appointment date?,6
85,What's the proper procedure for changing my appointment date?,6
86,Can you inform me about the protocol for rescheduling my appointment date?,6
87,How can I adjust my appointment date to a different time?,6
88,What is the correct way to modify my appointment date?,6
89,Could you explain the steps involved in rescheduling my appointment date?,6
90,Is there a specific process for changing my appointment date?,6
91,What do I need to do to reschedule my appointment date?,6
92,Can you walk me through the steps to reschedule my appointment date?,6
93,How can I make adjustments to my scheduled appointment date?,6
94,What's the recommended method for rescheduling my appointment date?,6
95,Can you provide guidance on the proper way to change my appointment date?,6
96,What is the official procedure for rescheduling an appointment date?,6
97,How do I formally request a change in my appointment date?,6
98,Could you outline the steps for rescheduling my appointment date?,6
99,Is there a specific form or process for altering my appointment date?,6
100,How do I initiate the process of changing my appointment date?,6
101,What documentation or information do I need to provide to reschedule my appointment date?,6
102,Could you inform me of the proper channels to go through for rescheduling my appointment date?,6
103,How can I officially request a reschedule for my appointment date?,6
104,What's the formal way to request a change in my appointment date?,6
105,Can you explain the official policy for rescheduling appointment dates?,6
106,Is there a specific department or contact I should reach out to for rescheduling my appointment date?,6
107,How do I navigate the system to reschedule my appointment date?,6
108,What options are available for me to reschedule my appointment date?,6
109,How do I access the rescheduling feature for my appointment date?,6
110,Can you explain the online process for rescheduling my appointment date?,6
111,What is the preferred method for rescheduling an appointment date?,6
112,What is the recommended communication method for rescheduling an appointment date?,6
113,How do I inform the relevant authorities about my intention to change my appointment date?,6
114,Can you advise me on the best way to communicate my need to reschedule my appointment date?,6
115,How do I officially notify the organization about my desire to change my appointment date?,6
116,Can you guide me on the proper communication channels for rescheduling my appointment date?,6
117,What's the appropriate way to inform the concerned parties about my need to change my appointment date?,6
118,How can I access and retrieve the BUCET application form online?,7
119,What is the correct way to download and retrieve the BUCET application form?,7
120,Could you explain the steps involved in retrieving the BUCET application form?,7
121,Is there a specific website or platform for retrieving the BUCET application form?,7
122,What do I need to do to retrieve the BUCET application form?,7
123,Can you walk me through the process to retrieve the BUCET application form?,7
124,How can I make sure I retrieve the most updated version of the BUCET application form?,7
125,What is the official procedure for obtaining and retrieving the BUCET application form?,7
126,How do I formally request and retrieve the BUCET application form?,7
127,Could you outline the steps for retrieving the BUCET application form?,7
128,Is there a specific link or download page for retrieving the BUCET application form?,7
129,What is the standard protocol for retrieving the BUCET application form?,7
130,Can you tell me the steps involved in obtaining and retrieving the BUCET application form?,7
131,How do I initiate the process of retrieving the BUCET application form?,7
132,What documentation or information do I need to provide to retrieve the BUCET application form?,7
133,Could you inform me of the proper channels to go through for retrieving the BUCET application form?,7
134,How can I officially request to retrieve the BUCET application form?,7
135,What's the formal way to request and retrieve the BUCET application form?,7
136,Can you explain the official policy for obtaining and retrieving the BUCET application form?,7
137,Is there a specific department or contact I should reach out to for retrieving the BUCET application form?,7
138,How do I navigate the system to retrieve the BUCET application form?,7
139,Can you guide me on using the online platform to obtain and retrieve the BUCET application form?,7
140,How can I utilize the online portal to obtain and retrieve the BUCET application form?,7
141,Can you provide instructions on retrieving the BUCET application form through the website?,7
142,What options are available for me to download and retrieve the BUCET application form?,7
143,How do I access the retrieval feature for the BUCET application form?,7
144,What is the preferred method for downloading and retrieving the BUCET application form?,7
145,Can you advise me on the best way to communicate my need to obtain and retrieve the BUCET application form?,7
146,How do I officially notify the organization about my desire to obtain and retrieve the BUCET application form?,7
147,How do I ensure that I retrieve the correct and official BUCET application form?,7
148,Can you guide me on the proper communication channels for downloading and retrieving the BUCET application form?,7
149,What's the appropriate way to inform the concerned parties about my need to obtain and retrieve the BUCET application form?,7
150,Can you provide information on the response time after submitting a request to obtain and retrieve the BUCET application form?,7
151,What is the recommended communication method for downloading and retrieving the BUCET application form?,7
152,Can you advise me on where to process my application form retrieval request?,7
153,Where can i get or retrieve my BUCET application form?,7
154,Could you provide instructions on how to modify the online-submitted picture?,8
155,What is the correct way to edit the photo I submitted online?,8
156,Can you inform me about the protocol for making changes to the online-submitted picture?,8
157,How can I access and edit the picture I uploaded online?,8
158,What is the proper procedure for editing the online-submitted picture?,8
159,Could you explain the steps involved in editing the picture I submitted online?,8
160,Is there a specific tool or feature for editing the picture after online submission?,8
161,What do I need to do to edit the picture I submitted online?,8
162,Can you walk me through the process to edit the online-submitted picture?,8
163,How can I make sure I edit the correct version of the online-submitted picture?,8
164,What's the recommended method for editing the picture after online submission?,8
165,Can you provide guidance on the proper way to modify the online-submitted picture?,8
166,What is the official procedure for editing the picture submitted online?,8
167,How do I formally request and edit the picture I submitted online?,8
168,Could you outline the steps for editing the online-submitted picture?,8
169,Is there a specific link or section for editing the picture after online submission?,8
170,What is the standard protocol for editing the picture submitted online?,8
171,Can you tell me the steps involved in making changes to the online-submitted picture?,8
172,How do I initiate the process of editing the picture I submitted online?,8
173,What documentation or information do I need to provide to edit the online-submitted picture?,8
174,Could you inform me of the proper channels to go through for editing the online-submitted picture?,8
175,How can I officially request to edit the picture I submitted online?,8
176,What's the formal way to request and edit the online-submitted picture?,8
177,Can you explain the official policy for editing the picture submitted online?,8
178,Is there a specific department or contact I should reach out to for editing the online-submitted picture?,8
179,How do I navigate the system to edit the online-submitted picture?,8
180,Can you guide me on using the online platform to edit the picture I submitted?,8
181,What are the steps to follow when using the online system to modify the online-submitted picture?,8
182,How can I utilize the online portal to edit the picture I submitted?,8
183,Can you provide instructions on editing the online-submitted picture through the website?,8
184,What options are available for me to make changes to the picture after online submission?,8
185,How do I access the editing feature for the online-submitted picture?,8
186,Can you explain the online process for editing the picture submitted online?,8
187,What is the preferred method for modifying the picture after online submission?,8
188,How do I inform the relevant authorities about my intention to edit the online-submitted picture?,8
189,When is the final date for turning in all necessary documents?,9
190,Could you specify the deadline for the submission of all required documents?,9
191,What is the last day for submitting all the necessary documentary requirements?,9
192,Can you inform me about the timeline for submitting all the required documents?,9
193,When is the cutoff for the submission of all documentary requirements?,9
194,Could you let me know the final date by which I need to submit all required documents?,9
195,When is the last day for turning in all the documentary requirements?,9
196,Can you provide details on the closing date for submitting all required documents?,9
197,What is the designated deadline for the submission of all necessary documents?,9
198,Could you specify the final deadline for the submission of all documentary requirements?,9
199,When is the last possible date for submitting all required documents?,9
200,What is the closing date for the submission of all required documents?,9
201,Could you let me know the final deadline for completing all necessary documents?,9
202,When is the last day for turning in all the documentary requirements?,9
